Title,Category Name,Experience,Sub Category Name,Currency,Budget,Location,Freelancer Preferred From,Type,Date Posted,Description,Duration,Client Registration Date,Client City,Client Country,Client Currency,Client Job Title
i need an interactive form building n my site ,Technology & Programming,Entry ($),Website Development,GBP,20.0,remote,ALL,fixed_price,2023-01-30 16:04:50,"i want to cllect leads/data on my site. i want to change the form and make it more  interactive and better user journey. please send examples of forms you have built

thahks",,2016-05-17,Tadcaster,United Kingdom,GBP,Paid Social Media Manager
3D model of BIG MINING MACHINE,Design,Expert ($$$),3D Design,EUR,2007.0,remote,ALL,fixed_price,2023-01-30 16:04:50,"Hi everyone,
today im looking for ""SKILLED"" 3D artist, who is able to make really precise 3D model of mining machine RK 5000. Its basicly a big slowly moving mining building. Check attachments.

Model should be made with some EXPERIENCED artist, so dont waste your time when you dont have years of experiences in 3D modeling and quality portfolio.

WHAT I NEED:
- 3D model (3ds Max will be best, but FBX format is OK if you are not 3ds max user)
- UVW and UNWRAPP model
- PBR textures min. size 2048x2048
- Daily communication and showing progress through my Slack channel
- Unlimited feedbacks till full satisfaction

Deadline is end of March

See attached picture for details (zoom it and study it carefully please)
+ here is some links of machine:

https://youtu.be/1UL6ukglbO0

https://youtu.be/rjkm2u1oi_o",,2019-06-05,Ostrava,Czech Republic,USD,indie game and VR company
Sales Email Template,"Marketing, Branding & Sales",Expert ($$$),Sales & Calls,GBP,25.0,remote,ALL,hourly,2023-01-30 15:55:38,"Looking for a template that can be used when we are contacting customers about our virtual office service, virtual assistant services & business support services. 

This email will be used after we have cold called and they have expressed an interest in our services. 

Declan",,2022-12-05,Ardrossan,United Kingdom,GBP,
Need Writer to Write a Review Article,Writing & Translation,Entry ($),Content Writing,USD,30.0,remote,ALL,fixed_price,2023-01-30 15:55:38,"I need a writer who can able to write a review article.

Product to review: ""Octo Browser""
Word count: 1500+ words
Deadline: Within 2 days.

If you are interested contact me and I will provide all the additional details.",,2014-10-08,Kolkata,India,USD,Blogging | Digital Marketing | SEO
I need a 3d work of my house ,Design,Intermediate ($$),3D Design,GBP,30.0,remote,ALL,fixed_price,2023-01-30 15:41:40,I require 3d work of my house. 3d plan already exists. Looking to start immediately ,,2022-01-02,Gloucester,United Kingdom,GBP,
Adult site - Changing a profile,Technology & Programming,Entry ($),Website Development,GBP,20.0,remote,ALL,hourly,2023-01-30 15:44:15,"Please do not message unless you can work on an adult site.

My site is  on WordPress. The registration has three escorting profiles (VIP, Premium and standard). The VIP and Premium profiles has a bio that an escort can complete. The standard does not. I just need the standard profile to have a bio like the other two. Simple as that.

This is a small job, but good work and efficiency will lead to larger projects. ",,2019-12-11,Leeds,United Kingdom,GBP,
Market information gathering ,Business,Expert ($$$),Management & Development,GBP,88.0,remote,ALL,fixed_price,2023-01-30 15:41:40,"For a project in the UK, looking for people to help with gathering market information using combination of Google Maps, Linkedin and general website search, based on a very clear and simple process we will provide details for.   
No specific skills required.     ",,2022-02-02,Camden,United Kingdom,GBP,
x 1 Infographic about mobile phone usage while shopping,Design,Expert ($$$),Graphic Design,GBP,120.0,remote,ALL,fixed_price,2023-01-30 15:41:40,"I need an infographic showing information and statistics regarding how people use their smartphones while shopping in-store.

Full brief will be provided. ",,2014-10-22,Manchester,United Kingdom,GBP,Digital; Marketing Agency
Visual Studio Forms Website,Technology & Programming,Intermediate ($$),Programming & Coding,GBP,130.0,remote,ALL,fixed_price,2023-01-30 15:26:35,"I need a Visual Studio Forms website Design. I would like a basic structure for a home, about, and products page. Then a login with email verification. Once the user has logged in, I would like to give/remove access to a documents page which has PDFs stored on.",,2022-12-21,London,United Kingdom,GBP,
"Copywriter who familiar with WordPress and ChatGPT

",Writing & Translation,Intermediate ($$),Copywriting,USD,136.0,remote,ALL,fixed_price,2023-01-30 15:25:00,We are seeking a skilled copywriter with knowledge of both WordPress and ChatGPT. The successful candidate will be able to use ChatGPT to rewrite articles and publish them on a WordPress website. The position pays $50 per month for 2 articles per week. Familiarity with the Yoast SEO plugin is also required.,,2023-01-29,Zurich,Switzerland,USD,
3D Animation from CAD model,Design,Intermediate ($$),3D Design,GBP,120.0,remote,ALL,fixed_price,2023-01-30 15:24:20,"Hi, 

We are looking for a skilled individual able to bring our 3D models to life via. animation. 

Projects may differ from larger models to smaller concept animations. 

It is prefered that person uses 3D Max software from Autodesk. We would also like the project files etc as a delivery. 
",,2023-01-30,Keflavik,Iceland,USD,
3 websites - data scraping,Technology & Programming,Entry ($),Databases,EUR,40.0,remote,ALL,fixed_price,2023-01-30 15:18:52,"I need a data scraping from the websites in the brief that follows, 
For each website please provide a separate .xls file. 

BRIEF: 
1. Ireland’s National psychologists register:  
Please go to website:  
https://www.psychologicalsociety.ie/pd/?pd_s=&pd_d=&pd_areas_of_practice=&pd_language=Click search – you should obtain 916 records:  
Please Scrape: 
1. Name
2. Email 
3. Address 



2. Dutch’s national psychologist register: please go to website - 
https://psynip.nl/vind-een-psycholoog/  
Choose 50 km as the “Maximale afstand”
Fill the “plaats of postcode” field with the following values one after another: 
1. Amsterdam 
2. rotterdam 
3. the hague 
4. Utrecht 
5. Eindhoven 
6. tilburg
7 groeningen 
8. Almere
9. breda
10. nijmegen 
From the records you obtain please scrape: 
1. Name
2. mail address
3. City: contained in the PLAATS field. 
Please remove duplicates before handing the document in.





3. Czech national psychologists register: 
Please go to website: https://cmpsy.cz/?page=adresar 
Insert in the “Město:” field – 
1. Prague	
2. Brno	
3. Ostrava	
4. Pilsen	
5. Olomouc	
6. Liberec
For the records obtained please scrape: 
1. Name
2. Mail 
3. city – it’s what contained in the “Město” field. 

The job must be completed before friday 3/02, 11 CET time. 
Please provide 5 records sample from each source to be assigned the job. I will assign the job tonight (30/01) before 18.00 CET.
",,2023-01-09,Padova,Italy,EUR,Administrative assistant
